order_id,source_order_id,parent_order_id,lot_id,assigned_line,assigned_slot,slot_no,master_slot,campaign_no,campaign_id,campaign_id_hint,block_id,block_in_slot_index,sequence_in_block,sequence_in_slot,global_sequence_on_line,selected_edge_type,line,line_name,campaign_seq,campaign_real_seq,tons,width,thickness,grade,steel_group,temp_min,temp_max,temp_mean,backlog,due_date,due_bucket,mixed_bridge_applied,is_virtual,inter_block_boundary_before,boundary_from_block_id,boundary_to_block_id,boundary_edge_type,global_seq,line_seq,master_seq,is_unassigned,force_break_before,selected_template_id,selected_bridge_path,engine_used
0020050205-000130,0020050205-000130,0020050205-000130,0020050205-000130,big_roll,1,1,1,1,big_roll__slot_1,big_roll__slot_1,BLK_big_roll_000975,1,1,1,1,DIRECT_EDGE,big_roll,大辊线,1,1,24.0,1500.0,1.2,DC01,普碳,770.0,850.0,810.0,240.0,2025-10-31,overdue,False,False,False,,,,1,1,1,0,0,,,block_first
0020049967-000040,0020049967-000040,0020049967-000040,0020049967-000040,big_roll,1,1,1,1,big_roll__slot_1,big_roll__slot_1,BLK_big_roll_000975,1,2,2,2,DIRECT_EDGE,big_roll,大辊线,2,2,24.0,1500.0,1.2,DC01-D,普碳,770.0,850.0,810.0,156.0,2025-10-31,overdue,False,False,False,,,,2,2,2,0,0,,,block_first
0020049965-000050,0020049965-000050,0020049965-000050,0020049965-000050,big_roll,1,1,1,1,big_roll__slot_1,big_roll__slot_1,BLK_big_roll_000975,1,3,3,3,DIRECT_EDGE,big_roll,大辊线,3,3,24.0,1500.0,1.2,DC01-D,普碳,770.0,850.0,810.0,130.0,2025-10-31,overdue,False,False,False,,,,3,3,3,0,0,,,block_first
0020050208-000020,0020050208-000020,0020050208-000020,0020050208-000020,big_roll,1,1,1,1,big_roll__slot_1,big_roll__slot_1,BLK_big_roll_000975,1,4,4,4,DIRECT_EDGE,big_roll,大辊线,4,4,24.0,1500.0,1.2,DC01,普碳,770.0,850.0,810.0,104.0,2025-10-31,overdue,False,False,False,,,,4,4,4,0,0,,,block_first
0020049981-000020,0020049981-000020,0020049981-000020,0020049981-000020,big_roll,1,1,1,1,big_roll__slot_1,big_roll__slot_1,BLK_big_roll_000975,1,5,5,5,DIRECT_EDGE,big_roll,大辊线,5,5,24.0,1500.0,1.2,DC01,普碳,770.0,850.0,810.0,104.0,2025-10-31,overdue,False,False,False,,,,5,5,5,0,0,,,block_first
0020050276-000050,0020050276-000050,0020050276-000050,0020050276-000050,big_roll,1,1,1,1,big_roll__slot_1,big_roll__slot_1,BLK_big_roll_000975,1,6,6,6,DIRECT_EDGE,big_roll,大辊线,6,6,24.0,1500.0,1.2,DC01,普碳,770.0,850.0,810.0,78.0,2025-10-31,overdue,False,False,False,,,,6,6,6,0,0,,,block_first
0020049966-000040,0020049966-000040,0020049966-000040,0020049966-000040,big_roll,1,1,1,1,big_roll__slot_1,big_roll__slot_1,BLK_big_roll_000975,1,7,7,7,DIRECT_EDGE,big_roll,大辊线,7,7,24.0,1500.0,1.2,DC01-D,普碳,770.0,850.0,810.0,52.0,2025-10-31,overdue,False,False,False,,,,7,7,7,0,0,,,block_first
0020049964-000040,0020049964-000040,0020049964-000040,0020049964-000040,big_roll,1,1,1,1,big_roll__slot_1,big_roll__slot_1,BLK_big_roll_000975,1,8,8,8,DIRECT_EDGE,big_roll,大辊线,8,8,24.0,1500.0,1.2,DC01-D,普碳,770.0,850.0,810.0,52.0,2025-10-31,overdue,False,False,False,,,,8,8,8,0,0,,,block_first
0020049983-000100,0020049983-000100,0020049983-000100,0020049983-000100,big_roll,1,1,1,1,big_roll__slot_1,big_roll__slot_1,BLK_big_roll_000975,1,9,9,9,DIRECT_EDGE,big_roll,大辊线,9,9,24.0,1500.0,1.2,DC01,普碳,770.0,850.0,810.0,26.0,2025-10-31,overdue,False,False,False,,,,9,9,9,0,0,,,block_first
0020049983-000090,0020049983-000090,0020049983-000090,0020049983-000090,big_roll,1,1,1,1,big_roll__slot_1,big_roll__slot_1,BLK_big_roll_000975,1,10,10,10,DIRECT_EDGE,big_roll,大辊线,10,10,24.0,1500.0,1.18,DC01,普碳,770.0,850.0,810.0,26.0,2025-10-31,overdue,False,False,False,,,,10,10,10,0,0,,,block_first
0020049964-000030,0020049964-000030,0020049964-000030,0020049964-000030,big_roll,1,1,1,1,big_roll__slot_1,big_roll__slot_1,BLK_big_roll_000975,1,11,11,11,DIRECT_EDGE,big_roll,大辊线,11,11,24.0,1500.0,1.15,DC01-D,普碳,770.0,850.0,810.0,78.0,2025-10-31,overdue,False,False,False,,,,11,11,11,0,0,,,block_first
0020049965-000040,0020049965-000040,0020049965-000040,0020049965-000040,big_roll,1,1,1,1,big_roll__slot_1,big_roll__slot_1,BLK_big_roll_000975,1,12,12,12,DIRECT_EDGE,big_roll,大辊线,12,12,24.0,1500.0,1.15,DC01-D,普碳,770.0,850.0,810.0,52.0,2025-10-31,overdue,False,False,False,,,,12,12,12,0,0,,,block_first
0020049966-000030,0020049966-000030,0020049966-000030,0020049966-000030,big_roll,1,1,1,1,big_roll__slot_1,big_roll__slot_1,BLK_big_roll_000975,1,13,13,13,DIRECT_EDGE,big_roll,大辊线,13,13,24.0,1500.0,1.15,DC01-D,普碳,770.0,850.0,810.0,26.0,2025-10-31,overdue,False,False,False,,,,13,13,13,0,0,,,block_first
0020049276-000010,0020049276-000010,0020049276-000010,0020049276-000010,big_roll,1,1,1,1,big_roll__slot_1,big_roll__slot_1,BLK_big_roll_000975,1,14,14,14,DIRECT_EDGE,big_roll,大辊线,14,14,24.0,1500.0,1.13,SPCC,普碳,770.0,850.0,810.0,8.9,2025-10-31,overdue,False,False,False,,,,14,14,14,0,0,,,block_first
0020049983-000080,0020049983-000080,0020049983-000080,0020049983-000080,big_roll,1,1,1,1,big_roll__slot_1,big_roll__slot_1,BLK_big_roll_000975,1,15,15,15,DIRECT_EDGE,big_roll,大辊线,15,15,24.0,1500.0,1.1,DC01,普碳,770.0,850.0,810.0,78.0,2025-10-31,overdue,False,False,False,,,,15,15,15,0,0,,,block_first
0020049966-000020,0020049966-000020,0020049966-000020,0020049966-000020,big_roll,1,1,1,1,big_roll__slot_1,big_roll__slot_1,BLK_big_roll_000975,1,16,16,16,DIRECT_EDGE,big_roll,大辊线,16,16,24.0,1500.0,1.1,DC01-D,普碳,770.0,850.0,810.0,52.0,2025-10-31,overdue,False,False,False,,,,16,16,16,0,0,,,block_first
0020049964-000020,0020049964-000020,0020049964-000020,0020049964-000020,big_roll,1,1,1,1,big_roll__slot_1,big_roll__slot_1,BLK_big_roll_000975,1,17,17,17,DIRECT_EDGE,big_roll,大辊线,17,17,24.0,1500.0,1.1,DC01-D,普碳,770.0,850.0,810.0,29.16,2025-10-31,overdue,False,False,False,,,,17,17,17,0,0,,,block_first
0030083518-000620,0030083518-000620,0030083518-000620,0030083518-000620,big_roll,2,2,2,2,big_roll__slot_2,big_roll__slot_2,blk6394_big_roll_35,1,1,1,18,DIRECT_EDGE,big_roll,大辊线,1,1,24.0,1400.0,1.8,T280VK,双相钢,770.0,790.0,780.0,26.0,2025-10-31,overdue,False,False,False,,,,18,18,1,0,0,,,block_first
0030085644-000020,0030085644-000020,0030085644-000020,0030085644-000020,big_roll,2,2,2,2,big_roll__slot_2,big_roll__slot_2,blk6394_big_roll_35,1,2,2,19,DIRECT_EDGE,big_roll,大辊线,2,2,24.0,1353.0,1.6,T280VK,双相钢,770.0,790.0,780.0,22.0,2025-10-31,overdue,False,False,False,,,,19,19,2,0,0,,,block_first
0030085350-000160,0030085350-000160,0030085350-000160,0030085350-000160,big_roll,2,2,2,2,big_roll__slot_2,big_roll__slot_2,blk6394_big_roll_35,1,3,3,20,DIRECT_EDGE,big_roll,大辊线,3,3,22.5,1300.0,1.8,HC340/590DP,双相钢,770.0,790.0,780.0,24.0,2025-10-31,overdue,False,False,False,,,,20,20,3,0,0,,,block_first
0030082964-000130,0030082964-000130,0030082964-000130,0030082964-000130,big_roll,2,2,2,2,big_roll__slot_2,big_roll__slot_2,blk6394_big_roll_35,1,4,4,21,DIRECT_EDGE,big_roll,大辊线,4,4,21.5,1250.0,1.6,HC340/590DP,双相钢,770.0,790.0,780.0,48.0,2025-10-31,overdue,False,False,False,,,,21,21,4,0,0,,,block_first
0030082156-000310,0030082156-000310,0030082156-000310,0030082156-000310,big_roll,2,2,2,2,big_roll__slot_2,big_roll__slot_2,blk6394_big_roll_35,1,5,5,22,DIRECT_EDGE,big_roll,大辊线,5,5,21.5,1200.0,1.6,HC340/590DP,双相钢,770.0,790.0,780.0,24.0,2025-10-31,overdue,False,False,False,,,,22,22,5,0,0,,,block_first
0030084741-000060,0030084741-000060,0030084741-000060,0030084741-000060,big_roll,2,2,2,2,big_roll__slot_2,big_roll__slot_2,blk6394_big_roll_35,1,6,6,23,DIRECT_EDGE,big_roll,大辊线,6,6,21.5,1152.0,1.4,T280VK,双相钢,770.0,790.0,780.0,24.0,2025-11-30,overdue,False,False,False,,,,23,23,6,0,0,,,block_first
0030085175-000120,0030085175-000120,0030085175-000120,0030085175-000120,big_roll,2,2,2,2,big_roll__slot_2,big_roll__slot_2,blk6394_big_roll_35,1,7,7,24,DIRECT_EDGE,big_roll,大辊线,7,7,21.5,1152.0,1.8,HC340/590DP,双相钢,770.0,790.0,780.0,48.0,2025-10-31,overdue,False,False,False,,,,24,24,7,0,0,,,block_first
0030083518-000280,0030083518-000280,0030083518-000280,0030083518-000280,big_roll,2,2,2,2,big_roll__slot_2,big_roll__slot_2,blk6394_big_roll_35,1,8,8,25,DIRECT_EDGE,big_roll,大辊线,8,8,21.5,1120.0,2.0,HC340/590DP,双相钢,770.0,790.0,780.0,22.0,2025-10-31,overdue,False,False,False,,,,25,25,8,0,0,,,block_first
0030084062-000050,0030084062-000050,0030084062-000050,0030084062-000050,big_roll,2,2,2,2,big_roll__slot_2,big_roll__slot_2,blk6394_big_roll_35,1,9,9,26,DIRECT_EDGE,big_roll,大辊线,9,9,21.5,1104.0,1.6,HC340/590DP,双相钢,770.0,790.0,780.0,44.0,2025-10-31,overdue,False,False,False,,,,26,26,9,0,0,,,block_first
0020049966-000050,0020049966-000050,0020049966-000050,0020049966-000050,big_roll,3,3,3,3,big_roll__slot_3,big_roll__slot_3,blk6394_big_roll_34,1,1,1,27,DIRECT_EDGE,big_roll,大辊线,1,1,24.0,1500.0,1.35,DC01-D,普碳,770.0,850.0,810.0,52.0,2025-10-31,overdue,False,False,False,,,,27,27,1,0,0,,,block_first
0020049967-000030,0020049967-000030,0020049967-000030,0020049967-000030,big_roll,3,3,3,3,big_roll__slot_3,big_roll__slot_3,blk6394_big_roll_34,1,2,2,28,DIRECT_EDGE,big_roll,大辊线,2,2,24.0,1500.0,1.0,DC01-D,普碳,770.0,850.0,810.0,104.0,2025-10-31,overdue,False,False,False,,,,28,28,2,0,0,,,block_first
0020049966-000010,0020049966-000010,0020049966-000010,0020049966-000010,big_roll,3,3,3,3,big_roll__slot_3,big_roll__slot_3,blk6394_big_roll_34,1,7,3,29,DIRECT_EDGE,big_roll,大辊线,3,3,24.0,1500.0,1.0,DC01-D,普碳,770.0,850.0,810.0,52.0,2025-10-31,overdue,False,False,False,,,,29,29,7,0,0,,,block_first
0020049964-000010,0020049964-000010,0020049964-000010,0020049964-000010,big_roll,3,3,3,3,big_roll__slot_3,big_roll__slot_3,blk6394_big_roll_34,1,8,4,30,DIRECT_EDGE,big_roll,大辊线,4,4,24.0,1500.0,1.0,DC01-D,普碳,770.0,850.0,810.0,53.36,2025-10-31,overdue,False,False,False,,,,30,30,8,0,0,,,block_first
0020049280-000030,0020049280-000030,0020049280-000030,0020049280-000030,small_roll,1,1,1,1,small_roll__slot_1,small_roll__slot_1,BLK_small_roll_000698,1,1,1,1,DIRECT_EDGE,small_roll,小辊线,1,1,18.5,919.0,1.0,DC01,普碳,770.0,850.0,810.0,210.0,2025-11-15,overdue,False,False,False,,,,31,1,1,0,0,,,block_first
0020049282-000020,0020049282-000020,0020049282-000020,0020049282-000020,small_roll,1,1,1,1,small_roll__slot_1,small_roll__slot_1,BLK_small_roll_000698,1,2,2,2,DIRECT_EDGE,small_roll,小辊线,2,2,18.5,919.0,1.0,DC01,普碳,770.0,850.0,810.0,180.0,2025-11-15,overdue,False,False,False,,,,32,2,2,0,0,,,block_first
0020049281-000040,0020049281-000040,0020049281-000040,0020049281-000040,small_roll,1,1,1,1,small_roll__slot_1,small_roll__slot_1,BLK_small_roll_000698,1,3,3,3,DIRECT_EDGE,small_roll,小辊线,3,3,18.5,919.0,1.2,DC01,普碳,770.0,850.0,810.0,204.0,2025-11-15,overdue,False,False,False,,,,33,3,3,0,0,,,block_first
0020047112-000030,0020047112-000030,0020047112-000030,0020047112-000030,small_roll,1,1,1,1,small_roll__slot_1,small_roll__slot_1,BLK_small_roll_000698,1,4,4,4,DIRECT_EDGE,small_roll,小辊线,4,4,18.5,919.0,1.2,DC01,普碳,770.0,850.0,810.0,18.12,2025-10-15,overdue,False,False,False,,,,34,4,4,0,0,,,block_first
0020047110-000040,0020047110-000040,0020047110-000040,0020047110-000040,small_roll,1,1,1,1,small_roll__slot_1,small_roll__slot_1,BLK_small_roll_000698,1,5,5,5,DIRECT_EDGE,small_roll,小辊线,5,5,18.5,919.0,1.2,DC01,普碳,770.0,850.0,810.0,15.8,2025-10-15,overdue,False,False,False,,,,35,5,5,0,0,,,block_first
0020049281-000030,0020049281-000030,0020049281-000030,0020049281-000030,small_roll,1,1,1,1,small_roll__slot_1,small_roll__slot_1,BLK_small_roll_000906,4,1,6,6,DIRECT_EDGE,small_roll,小辊线,6,6,18.5,919.0,1.0,DC01,普碳,770.0,850.0,810.0,172.92,2025-11-15,overdue,False,False,True,BLK_small_roll_000663,BLK_small_roll_000906,DIRECT_EDGE,36,6,1,0,0,,,block_first
0020050289-000010,0020050289-000010,0020050289-000010,0020050289-000010,small_roll,1,1,1,1,small_roll__slot_1,small_roll__slot_1,BLK_small_roll_000906,4,2,7,7,DIRECT_EDGE,small_roll,小辊线,7,7,18.5,919.0,1.0,DC01,普碳,770.0,850.0,810.0,150.0,2025-11-15,overdue,False,False,False,,,,37,7,2,0,0,,,block_first
