order_id,grade,steel_group,width,thickness,temp_max,temp_min,temp_mean,tons,backlog,due_date,due_sort,width_cluster,seq,prev_width,prev_thickness,prev_group,width_jump,thickness_diff,group_switch,narrow_to_wide,width_jump_violation,thickness_violation,temp_overlap_ok,non_pc_direct_switch,campaign_id,campaign_tons
0020049300-000010,DC01,普碳,1258,0.97,850,770,810.0,22.5,130.82,2025-10-31,2025-10-31,3,70,1320.0,1.15,加磷高强、烘烤硬化钢,62.0,0.17999999999999994,True,False,False,False,True,False,3,747.5
0020050290-000010,THS2-TY,IF钢,1258,1.0,815,775,795.0,21.0,128.6,2025-10-31,2025-10-31,3,71,1258.0,0.97,普碳,0.0,0.030000000000000027,True,False,False,False,True,False,3,747.5
0020050205-000100,DC01,普碳,1250,1.2,850,770,810.0,21.5,194.8,2025-10-31,2025-10-31,2,72,1258.0,1.0,IF钢,8.0,0.19999999999999996,True,False,False,False,True,False,3,747.5
0030085652-000010,T280VK,双相钢,1228,1.4,790,770,780.0,21.5,144.0,2025-11-30,2025-11-30,2,73,1250.0,1.2,普碳,22.0,0.19999999999999996,True,False,False,False,True,False,3,747.5
0030084752-000030,HC340/590DP,双相钢,1223,1.6,790,770,780.0,21.5,120.0,2025-11-30,2025-11-30,2,74,1228.0,1.4,双相钢,5.0,0.20000000000000018,False,False,False,False,True,False,3,747.5
0030083753-000050,HC340/590DP,双相钢,1192,1.15,810,790,800.0,21.5,96.0,2025-10-31,2025-10-31,1,75,1223.0,1.6,双相钢,31.0,0.4500000000000002,False,False,False,False,True,False,3,747.5
0030085386-000010,HC340/590DP,双相钢,1189,1.4,790,770,780.0,21.5,96.0,2025-10-31,2025-10-31,1,76,1192.0,1.15,双相钢,3.0,0.25,False,False,False,False,True,False,3,747.5
0030085350-000170,HC340/590DP,双相钢,1100,1.2,810,790,800.0,21.5,120.0,2025-10-31,2025-10-31,0,77,1189.0,1.4,双相钢,89.0,0.19999999999999996,False,False,False,False,True,False,3,747.5
0020048032-000020,DC01,普碳,927,1.0,850,770,810.0,18.5,87.06,2025-10-15,2025-10-15,0,78,1100.0,1.2,双相钢,173.0,0.19999999999999996,True,False,False,False,True,False,3,747.5
0020049280-000030,DC01,普碳,919,1.0,850,770,810.0,18.5,210.0,2025-11-15,2025-11-15,0,79,927.0,1.0,普碳,8.0,0.0,False,False,False,False,True,False,3,747.5
0020049281-000040,DC01,普碳,919,1.2,850,770,810.0,18.5,204.0,2025-11-15,2025-11-15,0,80,919.0,1.0,普碳,0.0,0.19999999999999996,False,False,False,False,True,False,3,747.5
0020049282-000020,DC01,普碳,919,1.0,850,770,810.0,18.5,180.0,2025-11-15,2025-11-15,0,81,919.0,1.2,普碳,0.0,0.19999999999999996,False,False,False,False,True,False,3,747.5
0020050288-000010,DC01,普碳,919,1.0,850,770,810.0,18.5,120.0,2025-11-15,2025-11-15,0,82,919.0,1.0,普碳,0.0,0.0,False,False,False,False,True,False,3,747.5
0020050289-000010,DC01,普碳,919,1.0,850,770,810.0,18.5,150.0,2025-11-15,2025-11-15,0,83,919.0,1.0,普碳,0.0,0.0,False,False,False,False,True,False,3,747.5
0020049280-000020,DC01,普碳,919,0.9,850,770,810.0,18.5,84.8,2025-11-15,2025-11-15,0,84,919.0,1.0,普碳,0.0,0.09999999999999998,False,False,False,False,True,False,3,747.5
0020049281-000030,DC01,普碳,919,1.0,850,770,810.0,18.5,172.92,2025-11-15,2025-11-15,0,85,919.0,0.9,普碳,0.0,0.09999999999999998,False,False,False,False,True,False,3,747.5
0030086469-000010,HC180Y,加磷高强、烘烤硬化钢,1732,0.8,840,820,830.0,25.5,88.0,2025-10-25,2025-10-25,8,86,919.0,1.0,普碳,-813.0,0.19999999999999996,True,True,False,False,True,False,3,747.5
0020050205-000090,DC01,普碳,1700,1.0,850,770,810.0,25.5,125.0,2025-10-31,2025-10-31,8,87,1732.0,0.8,加磷高强、烘烤硬化钢,32.0,0.19999999999999996,True,False,False,False,True,False,3,747.5
0030084012-000010,DC01,普碳,1680,0.8,850,770,810.0,24.0,130.0,2025-10-31,2025-10-31,8,88,1700.0,1.0,普碳,20.0,0.19999999999999996,False,False,False,False,True,False,3,747.5
0020050205-000030,DC01,普碳,1600,0.8,850,770,810.0,24.0,125.0,2025-10-31,2025-10-31,7,89,1680.0,0.8,普碳,80.0,0.0,False,False,False,False,True,False,3,747.5
0020050205-000060,DC01,普碳,1596,0.95,850,770,810.0,24.0,150.0,2025-10-31,2025-10-31,7,90,1600.0,0.8,普碳,4.0,0.1499999999999999,False,False,False,False,True,False,3,747.5
0030085643-000100,HC340LA,低合金高强,1545,1.2,780,760,770.0,24.0,104.0,2025-11-05,2025-11-05,7,91,1596.0,0.95,普碳,51.0,0.25,True,False,False,False,True,False,3,747.5
0030084275-000010,HC420LA,低合金高强,1397,1.5,800,780,790.0,21.5,130.0,2025-10-31,2025-10-31,4,92,1545.0,1.2,低合金高强,148.0,0.30000000000000004,False,False,False,False,True,False,3,747.5
0030084745-000080,HC340LA,低合金高强,1353,2.0,780,760,770.0,24.0,78.0,2025-10-31,2025-10-31,4,93,1397.0,1.5,低合金高强,44.0,0.5,False,False,False,True,True,False,3,747.5
0030084418-000010,HC300LA,低合金高强,1270,1.47,770,750,760.0,22.5,75.0,2025-10-31,2025-10-31,3,94,1353.0,2.0,低合金高强,83.0,0.53,False,False,False,False,True,False,3,747.5
0030084741-000010,HC340LA,低合金高强,1196,1.6,780,760,770.0,21.5,168.0,2025-11-30,2025-11-30,1,95,1270.0,1.47,低合金高强,74.0,0.13000000000000012,False,False,False,False,True,False,3,747.5
0030086425-000010,HC340LA,低合金高强,1194,1.0,790,770,780.0,21.5,216.0,2025-11-10,2025-11-10,1,96,1196.0,1.6,低合金高强,2.0,0.6000000000000001,False,False,False,True,True,False,3,747.5
0030085871-000010,DC03,深冲钢（PD）,1130,1.0,830,790,810.0,21.5,110.0,2025-11-30,2025-11-30,0,97,1194.0,1.0,低合金高强,64.0,0.0,True,False,False,False,True,True,3,747.5
0030084752-000040,T250P1,加磷高强、烘烤硬化钢,1104,1.15,840,820,830.0,21.5,74.7,2025-11-30,2025-11-30,0,98,1130.0,1.0,深冲钢（PD）,26.0,0.1499999999999999,True,False,False,False,True,True,3,747.5
0020049084-000060,DC01,普碳,1803,1.0,850,770,810.0,25.5,150.0,2025-10-31,2025-10-31,8,99,1104.0,1.15,加磷高强、烘烤硬化钢,-699.0,0.1499999999999999,True,True,False,False,True,False,3,747.5
0020049084-000040,DC01,普碳,1803,0.9,850,770,810.0,25.5,120.0,2025-10-31,2025-10-31,8,100,1803.0,1.0,普碳,0.0,0.09999999999999998,False,False,False,False,True,False,3,747.5
0020049085-000010,DC01,普碳,1803,1.0,850,770,810.0,25.5,210.0,2025-10-31,2025-10-31,8,101,1803.0,0.9,普碳,0.0,0.09999999999999998,False,False,False,False,True,False,3,747.5
0030085385-000020,T280VK,双相钢,1753,1.2,810,790,800.0,25.5,120.0,2025-10-31,2025-10-31,8,102,1803.0,1.0,普碳,50.0,0.19999999999999996,True,False,False,False,True,False,3,747.5
0030084781-000010,HC340/590DP,双相钢,1584,1.2,810,790,800.0,24.0,104.0,2025-10-31,2025-10-31,7,103,1753.0,1.2,双相钢,169.0,0.0,False,False,False,False,True,False,3,747.5
0020050276-000060,DC01,普碳,1500,1.5,850,770,810.0,24.0,78.0,2025-10-31,2025-10-31,5,104,1584.0,1.2,双相钢,84.0,0.30000000000000004,True,False,False,False,True,False,4,727.0
0020050208-000060,DC01,普碳,1500,1.8,850,770,810.0,24.0,78.0,2025-10-31,2025-10-31,5,105,1500.0,1.5,普碳,0.0,0.30000000000000004,False,False,False,False,True,False,4,727.0
0020050208-000040,DC01,普碳,1500,1.4,850,770,810.0,24.0,78.0,2025-10-31,2025-10-31,5,106,1500.0,1.8,普碳,0.0,0.40000000000000013,False,False,False,False,True,False,4,727.0
0020049967-000040,DC01-D,普碳,1500,1.2,850,770,810.0,24.0,156.0,2025-10-31,2025-10-31,5,107,1500.0,1.4,普碳,0.0,0.19999999999999996,False,False,False,False,True,False,4,727.0
0020049276-000020,SPCC,普碳,1500,1.43,850,770,810.0,24.0,105.44,2025-10-31,2025-10-31,5,108,1500.0,1.2,普碳,0.0,0.22999999999999998,False,False,False,False,True,False,4,727.0
0020049964-000050,DC01-D,普碳,1500,1.35,850,770,810.0,24.0,131.62,2025-10-31,2025-10-31,5,109,1500.0,1.43,普碳,0.0,0.07999999999999985,False,False,False,False,True,False,4,727.0
0020049964-000090,DC01-D,普碳,1500,1.75,850,770,810.0,24.0,182.0,2025-10-31,2025-10-31,5,110,1500.0,1.35,普碳,0.0,0.3999999999999999,False,False,False,False,True,False,4,727.0
0020049981-000070,DC01,普碳,1500,2.0,850,770,810.0,24.0,78.0,2025-10-31,2025-10-31,5,111,1500.0,1.75,普碳,0.0,0.25,False,False,False,False,True,False,4,727.0
0020049981-000040,DC01,普碳,1500,1.5,850,770,810.0,24.0,104.0,2025-10-31,2025-10-31,5,112,1500.0,2.0,普碳,0.0,0.5,False,False,False,False,True,False,4,727.0
0020050208-000020,DC01,普碳,1500,1.2,850,770,810.0,24.0,104.0,2025-10-31,2025-10-31,5,113,1500.0,1.5,普碳,0.0,0.30000000000000004,False,False,False,False,True,False,4,727.0
0020049981-000050,DC01,普碳,1500,1.0,850,770,810.0,24.0,78.0,2025-10-31,2025-10-31,5,114,1500.0,1.2,普碳,0.0,0.19999999999999996,False,False,False,False,True,False,4,727.0
0020050205-000130,DC01,普碳,1500,1.2,850,770,810.0,24.0,240.0,2025-10-31,2025-10-31,5,115,1500.0,1.0,普碳,0.0,0.19999999999999996,False,False,False,False,True,False,4,727.0
0020050208-000010,DC01,普碳,1500,1.0,850,770,810.0,24.0,104.0,2025-10-31,2025-10-31,5,116,1500.0,1.2,普碳,0.0,0.19999999999999996,False,False,False,False,True,False,4,727.0
0020049983-000080,DC01,普碳,1500,1.1,850,770,810.0,24.0,78.0,2025-10-31,2025-10-31,5,117,1500.0,1.0,普碳,0.0,0.10000000000000009,False,False,False,False,True,False,4,727.0
0020049964-000060,DC01-D,普碳,1500,1.4,850,770,810.0,24.0,156.0,2025-10-31,2025-10-31,5,118,1500.0,1.1,普碳,0.0,0.2999999999999998,False,False,False,False,True,False,4,727.0
0030084902-000020,T1500HS,热成型钢,1465,1.6,825,740,782.5,24.0,364.0,2025-11-15,2025-11-15,5,119,1500.0,1.4,普碳,35.0,0.20000000000000018,True,False,False,False,True,False,4,727.0
0030081403-000050,T1500HS,热成型钢,1455,1.2,825,740,782.5,24.0,104.0,2025-10-15,2025-10-15,5,120,1465.0,1.6,热成型钢,10.0,0.40000000000000013,False,False,False,False,True,False,4,727.0
0030085399-000050,T1500HS,热成型钢,1455,1.4,825,740,782.5,24.0,104.0,2025-11-15,2025-11-15,5,121,1455.0,1.2,热成型钢,0.0,0.19999999999999996,False,False,False,False,True,False,4,727.0
0030085364-000040,T1500HS,热成型钢,1448,1.6,825,740,782.5,24.0,78.0,2025-11-15,2025-11-15,5,122,1455.0,1.4,热成型钢,7.0,0.20000000000000018,False,False,False,False,True,False,4,727.0
0030085399-000030,T1500HS,热成型钢,1375,1.4,825,740,782.5,24.0,104.0,2025-11-15,2025-11-15,4,123,1448.0,1.6,热成型钢,73.0,0.20000000000000018,False,False,False,False,True,False,4,727.0
0030085363-000010,T1500HS,热成型钢,1372,1.4,825,740,782.5,24.0,78.0,2025-12-15,2025-12-15,4,124,1375.0,1.4,热成型钢,3.0,0.0,False,False,False,False,True,False,4,727.0
0030085175-000190,T1500HS,热成型钢,1335,1.2,825,740,782.5,22.5,75.0,2025-11-15,2025-11-15,4,125,1372.0,1.4,热成型钢,37.0,0.19999999999999996,False,False,False,False,True,False,4,727.0
0020049967-000010,DC01-D,普碳,1250,1.5,850,770,810.0,21.5,144.0,2025-10-31,2025-10-31,2,126,1335.0,1.2,热成型钢,85.0,0.30000000000000004,True,False,False,False,True,False,4,727.0
0020049982-000040,DC01,普碳,1250,1.8,850,770,810.0,21.5,195.7,2025-10-31,2025-10-31,2,127,1250.0,1.5,普碳,0.0,0.30000000000000004,False,False,False,False,True,False,4,727.0
0030085309-000010,T1500HS,热成型钢,1210,1.8,825,740,782.5,21.5,96.0,2025-12-15,2025-12-15,1,128,1250.0,1.8,普碳,40.0,0.0,True,False,False,False,True,False,4,727.0
0030084050-000140,DC04,IF钢,1200,2.0,835,805,820.0,21.5,96.0,2025-10-31,2025-10-31,1,129,1210.0,1.8,热成型钢,10.0,0.19999999999999996,True,False,False,False,True,True,4,727.0
0030084068-000010,DC04,IF钢,1614,1.75,835,805,820.0,24.0,312.0,2025-10-31,2025-10-31,8,130,1200.0,2.0,IF钢,-414.0,0.25,False,True,False,False,True,False,4,727.0
0030082943-000020,DC05,IF钢,1500,1.45,845,815,830.0,24.0,78.0,2025-10-31,2025-10-31,5,131,1614.0,1.75,IF钢,114.0,0.30000000000000004,False,False,False,False,True,False,4,727.0
0030082941-000010,DC05,IF钢,1300,1.2,845,815,830.0,22.5,75.0,2025-10-31,2025-10-31,3,132,1500.0,1.45,IF钢,200.0,0.25,False,False,False,False,True,False,4,727.0
0030083988-000070,DC03,IF钢,1262,1.95,830,800,815.0,22.5,75.0,2025-10-31,2025-10-31,3,133,1300.0,1.2,IF钢,38.0,0.75,False,False,False,True,True,False,4,727.0
0030084050-000080,DC04,IF钢,1250,1.4,835,805,820.0,21.5,72.0,2025-10-31,2025-10-31,2,134,1262.0,1.95,IF钢,12.0,0.55,False,False,False,False,True,False,4,727.0
0020049982-000030,DC01,普碳,1250,1.0,850,770,810.0,21.5,97.42,2025-10-31,2025-10-31,2,135,1250.0,1.4,IF钢,0.0,0.3999999999999999,True,False,False,False,True,False,5,129.0
0020050205-000070,DC01,普碳,1250,1.0,850,770,810.0,21.5,120.0,2025-10-31,2025-10-31,2,136,1250.0,1.0,普碳,0.0,0.0,False,False,False,False,True,False,5,129.0
0020049982-000010,DC01,普碳,1250,0.8,850,770,810.0,21.5,217.4,2025-10-31,2025-10-31,2,137,1250.0,1.0,普碳,0.0,0.19999999999999996,False,False,False,False,True,False,5,129.0
0030085350-000190,HC300LA,低合金高强,1230,0.7,800,780,790.0,21.5,120.0,2025-10-31,2025-10-31,2,138,1250.0,0.8,普碳,20.0,0.10000000000000009,True,False,False,False,True,False,5,129.0
0030085323-000020,HC340LA,低合金高强,1194,0.7,810,790,800.0,21.5,72.0,2025-10-31,2025-10-31,1,139,1230.0,0.7,低合金高强,36.0,0.0,False,False,False,False,True,False,5,129.0
0030085323-000010,HC340LA,低合金高强,1134,0.7,810,790,800.0,21.5,88.0,2025-10-31,2025-10-31,0,140,1194.0,0.7,低合金高强,60.0,0.0,False,False,False,False,True,False,5,129.0
