order_id,source_order_id,grade,steel_group,width,thickness,temp_mean,tons,backlog,due_date,roll_type,line_capability,priority,temp_min,temp_max,line,due_sort,line_source,campaign_id,campaign_tons,is_virtual,seq,prev_width,prev_thickness,prev_group,width_drop,narrow_to_wide,width_jump_violation,thickness_violation,temp_conflict,group_switch,non_pc_direct_switch,global_seq,line_seq,campaign_seq,line_name,campaign_real_seq
0030084442-000090#M291,0030084442-000090,HC340/590DP,DP,1764.0,1.8,840.0,25.5,60.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,big_only,1,1260.0,False,1,,,,,False,False,False,False,False,False,1,1,1,大辊线,1
0020050205-000060#M301,0020050205-000060,DC01,PC,1596.0,0.95,810.0,24.0,150.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,big_roll,2025-10-31,dual,2,1042.5,False,2,,,,,False,False,False,False,False,False,2,2,1,大辊线,1
0030085323-000050#M78,0030085323-000050,DC04,IF,1543.0,0.8,830.0,24.0,52.0,2025-10-31,大辊,big_only,2.0,830.0,830.0,big_roll,2025-10-31,big_only,3,1260.0,False,3,,,,,False,False,False,False,False,False,3,3,1,大辊线,1
0030083118-000080#M564,0030083118-000080,DC05,IF,1500.0,0.81,835.0,24.0,52.0,2025-10-31,大辊,big_only,2.0,835.0,835.0,big_roll,2025-10-31,big_only,3,1260.0,False,4,1543.0,0.8,IF,43.0,False,False,False,False,False,False,4,4,2,大辊线,2
0030082156-000080#M656,0030082156-000080,HC340/590DP,DP,1450.0,1.0,840.0,24.0,52.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,big_only,4,1042.5,False,5,,,,,False,False,False,False,False,False,5,5,1,大辊线,1
0020050208-000030#M265,0020050208-000030,DC01,PC,1500.0,1.35,810.0,24.0,52.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,big_roll,2025-10-31,dual,5,1260.0,False,6,,,,,False,False,False,False,False,False,6,6,1,大辊线,1
0020050205-000130#M309,0020050205-000130,DC01,PC,1500.0,1.2,810.0,24.0,240.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,big_roll,2025-10-31,dual,5,1260.0,False,7,1500.0,1.35,PC,0.0,False,False,False,False,False,False,7,7,2,大辊线,2
0020050208-000040#M273,0020050208-000040,DC01,PC,1500.0,1.4,810.0,24.0,78.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,big_roll,2025-10-31,dual,5,1260.0,False,8,1500.0,1.2,PC,0.0,False,False,False,False,False,False,8,8,3,大辊线,3
0030083518-000530#M500,0030083518-000530,T280VK,DP,1500.0,1.2,840.0,24.0,52.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,big_only,6,1260.0,False,9,,,,,False,False,False,False,False,False,9,9,1,大辊线,1
0030082964-000050#M576,0030082964-000050,HC340/590DP,DP,1500.0,1.2,840.0,24.0,52.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,big_only,6,1260.0,False,10,1500.0,1.2,DP,0.0,False,False,False,False,False,False,10,10,2,大辊线,2
0030082156-000220#M680,0030082156-000220,HC340/590DP,DP,1500.0,1.2,840.0,24.0,52.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,big_only,6,1260.0,False,11,1500.0,1.2,DP,0.0,False,False,False,False,False,False,11,11,3,大辊线,3
0030082964-000070#M579,0030082964-000070,HC340/590DP,DP,1500.0,1.4,840.0,24.0,52.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,big_only,6,1260.0,False,12,1500.0,1.2,DP,0.0,False,False,False,False,False,False,12,12,4,大辊线,4
0030082964-000140#M584,0030082964-000140,HC340/590DP,DP,1500.0,1.6,840.0,24.0,52.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,big_only,6,1260.0,False,13,1500.0,1.4,DP,0.0,False,False,False,False,False,False,13,13,5,大辊线,5
0030084750-000070#M202,0030084750-000070,T280VK,DP,1540.0,2.0,840.0,24.0,104.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,big_only,6,1260.0,False,14,1500.0,1.6,DP,-40.0,True,False,False,False,False,False,14,14,6,大辊线,6
0030082156-000480#M687,0030082156-000480,HC340/590DP,DP,1500.0,2.0,840.0,24.0,53.96,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,big_only,6,1260.0,False,15,1540.0,2.0,DP,40.0,False,False,False,False,False,False,15,15,7,大辊线,7
0030082964-000120#M587,0030082964-000120,HC340/590DP,DP,1500.0,1.5,840.0,24.0,52.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,big_only,6,1260.0,False,16,1500.0,2.0,DP,0.0,False,False,False,False,False,False,16,16,8,大辊线,8
0020049966-000020#M461,0020049966-000020,DC01-D,PC,1500.0,1.1,815.0,24.0,52.0,2025-10-31,大辊/小辊,dual,1.0,815.0,815.0,big_roll,2025-10-31,dual,7,1260.0,False,17,,,,,False,False,False,False,False,False,17,17,1,大辊线,1
0020049964-000010#M481,0020049964-000010,DC01-D,PC,1500.0,1.0,815.0,24.0,53.36,2025-10-31,大辊/小辊,dual,1.0,815.0,815.0,big_roll,2025-10-31,dual,7,1260.0,False,18,1500.0,1.1,PC,0.0,False,False,False,False,False,False,18,18,2,大辊线,2
0030083932-000020#M418,0030083932-000020,DC06,IF,1380.0,0.8,840.0,24.0,72.32,2025-10-31,大辊,big_only,2.0,840.0,840.0,big_roll,2025-10-31,big_only,8,1042.5,False,19,,,,,False,False,False,False,False,False,19,19,1,大辊线,1
0030085651-000030#M72,0030085651-000030,HC340/590DP,DP,1400.0,1.2,840.0,24.0,88.0,2025-10-25,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-25,big_only,9,1042.5,False,20,,,,,False,False,False,False,False,False,20,20,1,大辊线,1
0030085350-000150#M164,0030085350-000150,HC340/590DP,DP,1400.0,1.2,840.0,24.0,78.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,big_only,10,1260.0,False,21,,,,,False,False,False,False,False,False,21,21,1,大辊线,1
0030082156-000450#M653,0030082156-000450,HC340/590DP,DP,1385.0,2.0,840.0,24.0,78.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,big_only,11,1260.0,False,22,,,,,False,False,False,False,False,False,22,22,1,大辊线,1
0030082156-000440#M650,0030082156-000440,HC340/590DP,DP,1355.0,2.0,840.0,24.0,78.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,big_only,11,1260.0,False,23,1385.0,2.0,DP,30.0,False,False,False,False,False,False,23,23,2,大辊线,2
0030082156-000430#M646,0030082156-000430,HC340/590DP,DP,1325.0,2.0,840.0,22.5,75.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,big_only,11,1260.0,False,24,1355.0,2.0,DP,30.0,False,False,False,False,False,False,24,24,3,大辊线,3
0030082156-000420#M640,0030082156-000420,HC340/590DP,DP,1300.0,2.0,840.0,22.5,75.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,big_only,11,1260.0,False,25,1325.0,2.0,DP,25.0,False,False,False,False,False,False,25,25,4,大辊线,4
0030083932-000030#M435,0030083932-000030,DC06,IF,1240.0,0.8,840.0,21.5,72.0,2025-10-31,大辊,big_only,2.0,840.0,840.0,big_roll,2025-10-31,big_only,12,1260.0,False,26,,,,,False,False,False,False,False,False,26,26,1,大辊线,1
0030082156-000410#M672,0030082156-000410,HC340/590DP,DP,1260.0,2.0,840.0,22.5,75.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,big_only,13,1042.5,False,27,,,,,False,False,False,False,False,False,27,27,1,大辊线,1
0020049982-000040#M442,0020049982-000040,DC01,PC,1250.0,1.8,810.0,21.5,195.7,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,big_roll,2025-10-31,dual,14,1260.0,False,28,,,,,False,False,False,False,False,False,28,28,1,大辊线,1
0030084637-000010#M261,0030084637-000010,DC05,IF,1250.0,0.6,835.0,21.5,84.7,2025-10-31,大辊,big_only,2.0,835.0,835.0,big_roll,2025-10-31,big_only,15,1260.0,False,29,,,,,False,False,False,False,False,False,29,29,1,大辊线,1
0030085341-000030#M107,0030085341-000030,DC04,IF,1174.0,0.6,830.0,21.5,120.0,2025-11-30,大辊,big_only,2.0,830.0,830.0,big_roll,2025-11-30,big_only,15,1260.0,False,30,1250.0,0.6,IF,76.0,False,False,False,False,False,False,30,30,2,大辊线,2
0030085341-000020#M82,0030085341-000020,DC04,IF,1204.0,0.6,830.0,21.5,192.0,2025-11-30,大辊,big_only,2.0,830.0,830.0,big_roll,2025-11-30,big_only,16,1042.5,False,31,,,,,False,False,False,False,False,False,31,31,1,大辊线,1
0030083377-000020#M552,0030083377-000020,DC04,IF,1230.0,0.7,830.0,21.5,72.0,2025-10-31,大辊,big_only,2.0,830.0,830.0,big_roll,2025-10-31,big_only,16,1260.0,False,32,1204.0,0.6,IF,-26.0,True,False,False,False,False,False,32,32,2,大辊线,2
0030084752-000020#M233,0030084752-000020,HC340/590DP,DP,1198.0,1.4,840.0,21.5,72.0,2025-11-30,大辊,big_only,3.0,840.0,840.0,big_roll,2025-11-30,big_only,17,1260.0,False,33,,,,,False,False,False,False,False,False,33,33,1,大辊线,1
0030082156-000390#M684,0030082156-000390,HC340/590DP,DP,1200.0,2.0,840.0,21.5,96.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,big_only,18,1042.5,False,34,,,,,False,False,False,False,False,False,34,34,1,大辊线,1
0030082156-000370#M667,0030082156-000370,HC340/590DP,DP,1170.0,2.0,840.0,21.5,96.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,big_only,18,1042.5,False,35,1200.0,2.0,DP,30.0,False,False,False,False,False,False,35,35,2,大辊线,2
0030082156-000360#M688,0030082156-000360,HC340/590DP,DP,1150.0,2.0,840.0,21.5,88.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,big_only,18,1042.5,False,36,1170.0,2.0,DP,20.0,False,False,False,False,False,False,36,36,3,大辊线,3
0030082156-000380#M654,0030082156-000380,HC340/590DP,DP,1185.0,2.0,840.0,21.5,96.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,big_only,18,1042.5,False,37,1150.0,2.0,DP,-35.0,True,False,False,False,False,False,37,37,4,大辊线,4
0030083753-000050#M453,0030083753-000050,HC340/590DP,DP,1192.0,1.15,840.0,21.5,96.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,big_only,19,1042.5,False,38,,,,,False,False,False,False,False,False,38,38,1,大辊线,1
0030084876-000020#M216,0030084876-000020,HC340/590DP,DP,1125.0,1.0,840.0,21.5,66.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,big_only,19,1042.5,False,39,1192.0,1.15,DP,67.0,False,False,False,False,False,False,39,39,2,大辊线,2
0030082156-000350#M677,0030082156-000350,HC340/590DP,DP,1100.0,2.0,840.0,21.5,66.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,big_only,20,1042.5,False,40,,,,,False,False,False,False,False,False,40,40,1,大辊线,1
0020049084-000040#M700,0020049084-000040,DC01,PC,1803.0,0.9,810.0,25.5,120.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,small_roll,2025-10-31,dual,1,1711.0,False,41,,,,,False,False,False,False,False,False,41,1,1,小辊线,1
0020049085-000010#M701,0020049085-000010,DC01,PC,1803.0,1.0,810.0,25.5,210.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,small_roll,2025-10-31,dual,1,1711.0,False,42,1803.0,0.9,PC,0.0,False,False,False,False,False,False,42,2,2,小辊线,2
0020049084-000060#M698,0020049084-000060,DC01,PC,1803.0,1.0,810.0,25.5,150.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,small_roll,2025-10-31,dual,1,1711.0,False,43,1803.0,1.0,PC,0.0,False,False,False,False,False,False,43,3,3,小辊线,3
0020050205-000040#M290,0020050205-000040,DC01,PC,1700.0,0.8,810.0,25.5,53.54,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,small_roll,2025-10-31,dual,1,1711.0,False,44,1803.0,1.0,PC,103.0,False,False,False,False,False,False,44,4,4,小辊线,4
0030084012-000010#M280,0030084012-000010,DC01,PC,1680.0,0.8,810.0,24.0,130.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,small_roll,2025-10-31,dual,1,1711.0,False,45,1700.0,0.8,PC,20.0,False,False,False,False,False,False,45,5,5,小辊线,5
0030081238-000020#M706,0030081238-000020,T1500HS,HOTFORM,1600.0,1.5,840.0,24.0,156.0,2025-10-15,5.0小辊,small_only,3.0,840.0,840.0,small_roll,2025-10-15,small_only,2,1711.0,False,46,,,,,False,False,False,False,False,False,46,6,1,小辊线,1
0030081238-000050#M708,0030081238-000050,T1500HS,HOTFORM,1600.0,1.4,840.0,24.0,104.0,2025-10-15,5.0小辊,small_only,3.0,840.0,840.0,small_roll,2025-10-15,small_only,2,1711.0,False,47,1600.0,1.5,HOTFORM,0.0,False,False,False,False,False,False,47,7,2,小辊线,2
0030081238-000030#M707,0030081238-000030,T1500HS,HOTFORM,1600.0,1.4,840.0,24.0,78.0,2025-10-15,5.0小辊,small_only,3.0,840.0,840.0,small_roll,2025-10-15,small_only,2,1711.0,False,48,1600.0,1.4,HOTFORM,0.0,False,False,False,False,False,False,48,8,3,小辊线,3
0030081238-000010#M705,0030081238-000010,T1500HS,HOTFORM,1600.0,1.8,840.0,24.0,248.22,2025-10-15,5.0小辊,small_only,3.0,840.0,840.0,small_roll,2025-10-15,small_only,2,1711.0,False,49,1600.0,1.4,HOTFORM,0.0,False,False,False,False,False,False,49,9,4,小辊线,4
0030085399-000070#M137,0030085399-000070,T1500HS,HOTFORM,1599.0,1.5,840.0,24.0,104.0,2025-11-15,5.0小辊,small_only,3.0,840.0,840.0,small_roll,2025-11-15,small_only,2,1711.0,False,50,1600.0,1.8,HOTFORM,1.0,False,False,False,False,False,False,50,10,5,小辊线,5
0030081403-000060#M703,0030081403-000060,T1500HS,HOTFORM,1599.0,1.2,840.0,24.0,104.0,2025-10-15,5.0小辊,small_only,3.0,840.0,840.0,small_roll,2025-10-15,small_only,2,1711.0,False,51,1599.0,1.5,HOTFORM,0.0,False,False,False,False,False,False,51,11,6,小辊线,6
0030081238-000040#M710,0030081238-000040,T1500HS,HOTFORM,1590.0,1.4,840.0,24.0,806.0,2025-10-15,5.0小辊,small_only,3.0,840.0,840.0,small_roll,2025-10-15,small_only,2,1711.0,False,52,1599.0,1.2,HOTFORM,9.0,False,False,False,False,False,False,52,12,7,小辊线,7
0030085363-000020#M119,0030085363-000020,T1500HS,HOTFORM,1568.0,1.6,840.0,24.0,234.0,2025-12-15,5.0小辊,small_only,3.0,840.0,840.0,small_roll,2025-12-15,small_only,2,1711.0,False,53,1590.0,1.4,HOTFORM,22.0,False,False,False,False,False,False,53,13,8,小辊线,8
0030085346-000010#M116,0030085346-000010,T1500HS,HOTFORM,1563.0,1.4,840.0,24.0,676.0,2025-11-15,5.0小辊,small_only,3.0,840.0,840.0,small_roll,2025-11-15,small_only,2,1711.0,False,54,1568.0,1.6,HOTFORM,5.0,False,False,False,False,False,False,54,14,9,小辊线,9
0030081403-000040#M702,0030081403-000040,T1500HS,HOTFORM,1558.0,1.2,840.0,24.0,104.0,2025-10-15,5.0小辊,small_only,3.0,840.0,840.0,small_roll,2025-10-15,small_only,2,1711.0,False,55,1563.0,1.4,HOTFORM,5.0,False,False,False,False,False,False,55,15,10,小辊线,10
