order_id,source_order_id,grade,steel_group,width,thickness,temp_mean,tons,backlog,due_date,roll_type,line_capability,priority,temp_min,temp_max,line,due_sort,campaign_id,campaign_tons,is_virtual,seq,prev_width,prev_thickness,prev_group,width_drop,narrow_to_wide,width_jump_violation,thickness_violation,temp_conflict,group_switch,non_pc_direct_switch,line_seq
0030084442-000090#M291,0030084442-000090,HC340/590DP,DP,1764.0,1.8,840.0,25.5,60.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,1,1349.0,False,1,,,,,False,False,False,False,False,False,1
0030086469-000010#M17,0030086469-000010,HC180Y,BH,1732.0,0.8,835.0,25.5,88.0,2025-10-25,大辊,big_only,3.0,835.0,835.0,big_roll,2025-10-25,1,1349.0,False,3,1764.0,1.8,DP,32.0,False,False,True,False,True,True,2
0030085350-000080#M85,0030085350-000080,DC05,IF,1599.0,0.7,835.0,24.0,104.0,2025-10-31,大辊,big_only,2.0,835.0,835.0,big_roll,2025-10-31,1,1349.0,False,5,1732.0,0.8,BH,133.0,False,False,False,False,True,True,3
0030084050-000020#M374,0030084050-000020,DC04,IF,1550.0,0.7,830.0,24.0,52.0,2025-10-31,大辊,big_only,2.0,830.0,830.0,big_roll,2025-10-31,1,1349.0,False,7,1599.0,0.7,IF,49.0,False,False,False,False,False,False,4
0030085323-000050#M78,0030085323-000050,DC04,IF,1543.0,0.8,830.0,24.0,52.0,2025-10-31,大辊,big_only,2.0,830.0,830.0,big_roll,2025-10-31,1,1349.0,False,8,1550.0,0.7,IF,7.0,False,False,False,False,False,False,5
0030084781-000010#M230,0030084781-000010,HC340/590DP,DP,1584.0,1.2,840.0,24.0,104.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,1,1349.0,False,10,1543.0,0.8,IF,-41.0,True,False,True,False,True,True,6
0030084050-000160#M340,0030084050-000160,DC04,IF,1500.0,2.0,830.0,24.0,52.0,2025-10-31,大辊,big_only,2.0,830.0,830.0,big_roll,2025-10-31,1,1349.0,False,12,1584.0,1.2,DP,84.0,False,False,True,False,True,True,7
0020050276-000080#M257,0020050276-000080,DC01,PC,1500.0,2.0,810.0,24.0,52.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,big_roll,2025-10-31,1,1349.0,False,13,1500.0,2.0,IF,0.0,False,False,False,False,True,True,8
0030082943-000020#M591,0030082943-000020,DC05,IF,1500.0,1.45,835.0,24.0,78.0,2025-10-31,大辊,big_only,2.0,835.0,835.0,big_roll,2025-10-31,1,1349.0,False,14,1500.0,2.0,PC,0.0,False,False,False,False,True,True,9
0020049981-000050#M441,0020049981-000050,DC01,PC,1500.0,1.0,810.0,24.0,78.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,big_roll,2025-10-31,1,1349.0,False,16,1500.0,1.45,IF,0.0,False,False,True,False,True,True,10
0030085644-000040#M62,0030085644-000040,T280VK,DP,1500.0,0.8,840.0,24.0,88.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,1,1349.0,False,17,1500.0,1.0,PC,0.0,False,False,False,False,True,True,11
0030083518-000530#M500,0030083518-000530,T280VK,DP,1500.0,1.2,840.0,24.0,52.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,1,1349.0,False,19,1500.0,0.8,DP,0.0,False,False,True,False,False,False,12
0030082964-000050#M576,0030082964-000050,HC340/590DP,DP,1500.0,1.2,840.0,24.0,52.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,1,1349.0,False,20,1500.0,1.2,DP,0.0,False,False,False,False,False,False,13
0030082964-000120#M587,0030082964-000120,HC340/590DP,DP,1500.0,1.5,840.0,24.0,52.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,1,1349.0,False,21,1500.0,1.2,DP,0.0,False,False,False,False,False,False,14
0030082156-000220#M680,0030082156-000220,HC340/590DP,DP,1500.0,1.2,840.0,24.0,52.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,1,1349.0,False,22,1500.0,1.5,DP,0.0,False,False,False,False,False,False,15
0030082964-000070#M579,0030082964-000070,HC340/590DP,DP,1500.0,1.4,840.0,24.0,52.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,1,1349.0,False,23,1500.0,1.2,DP,0.0,False,False,False,False,False,False,16
0030082964-000140#M584,0030082964-000140,HC340/590DP,DP,1500.0,1.6,840.0,24.0,52.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,1,1349.0,False,24,1500.0,1.4,DP,0.0,False,False,False,False,False,False,17
0030082156-000480#M687,0030082156-000480,HC340/590DP,DP,1500.0,2.0,840.0,24.0,53.96,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,1,1349.0,False,25,1500.0,1.6,DP,0.0,False,False,False,False,False,False,18
0030084750-000070#M202,0030084750-000070,T280VK,DP,1540.0,2.0,840.0,24.0,104.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,1,1349.0,False,27,1500.0,2.0,DP,-40.0,True,False,False,False,False,False,19
0030084750-000020#M212,0030084750-000020,HC340/590DP,DP,1434.0,1.6,840.0,24.0,104.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,1,1349.0,False,28,1540.0,2.0,DP,106.0,False,False,False,False,False,False,20
0030085350-000150#M164,0030085350-000150,HC340/590DP,DP,1400.0,1.2,840.0,24.0,78.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,1,1349.0,False,29,1434.0,1.6,DP,34.0,False,False,False,False,False,False,21
0030085651-000030#M72,0030085651-000030,HC340/590DP,DP,1400.0,1.2,840.0,24.0,88.0,2025-10-25,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-25,1,1349.0,False,30,1400.0,1.2,DP,0.0,False,False,False,False,False,False,22
0030084275-000030#M323,0030084275-000030,DC04,IF,1390.0,2.5,830.0,21.5,52.0,2025-10-31,大辊,big_only,2.0,830.0,830.0,big_roll,2025-10-31,1,1349.0,False,32,1400.0,1.2,DP,10.0,False,False,True,False,True,True,23
0030082156-000440#M650,0030082156-000440,HC340/590DP,DP,1355.0,2.0,840.0,24.0,78.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,1,1349.0,False,34,1390.0,2.5,IF,35.0,False,False,False,False,True,True,24
0030082156-000430#M646,0030082156-000430,HC340/590DP,DP,1325.0,2.0,840.0,22.5,75.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,1,1349.0,False,35,1355.0,2.0,DP,30.0,False,False,False,False,False,False,25
0030082156-000420#M640,0030082156-000420,HC340/590DP,DP,1300.0,2.0,840.0,22.5,75.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,1,1349.0,False,36,1325.0,2.0,DP,25.0,False,False,False,False,False,False,26
0030086415-000010#M13,0030086415-000010,HC180Y,BH,1320.0,1.15,835.0,22.5,100.0,2025-11-30,大辊,big_only,3.0,835.0,835.0,big_roll,2025-11-30,1,1349.0,False,38,1300.0,2.0,DP,-20.0,True,False,True,False,True,True,27
0030084752-000010#M224,0030084752-000010,DC06,IF,1283.0,0.65,840.0,22.5,75.0,2025-11-30,大辊,big_only,2.0,840.0,840.0,big_roll,2025-11-30,1,1349.0,False,40,1320.0,1.15,BH,37.0,False,False,True,False,True,True,28
0030083932-000030#M435,0030083932-000030,DC06,IF,1240.0,0.8,840.0,21.5,72.0,2025-10-31,大辊,big_only,2.0,840.0,840.0,big_roll,2025-10-31,1,1349.0,False,41,1283.0,0.65,IF,43.0,False,False,False,False,False,False,29
0030083377-000020#M552,0030083377-000020,DC04,IF,1230.0,0.7,830.0,21.5,72.0,2025-10-31,大辊,big_only,2.0,830.0,830.0,big_roll,2025-10-31,1,1349.0,False,42,1240.0,0.8,IF,10.0,False,False,False,False,False,False,30
0030085341-000020#M82,0030085341-000020,DC04,IF,1204.0,0.6,830.0,21.5,192.0,2025-11-30,大辊,big_only,2.0,830.0,830.0,big_roll,2025-11-30,1,1349.0,False,43,1230.0,0.7,IF,26.0,False,False,False,False,False,False,31
0030085350-000120#M115,0030085350-000120,HC180Y,BH,1422.0,0.7,835.0,24.0,104.0,2025-10-31,大辊,big_only,3.0,835.0,835.0,big_roll,2025-10-31,1,1349.0,False,45,1204.0,0.6,IF,-218.0,True,False,False,False,True,True,32
0030084505-000050#M249,0030084505-000050,T280VK,DP,1442.0,0.7,840.0,24.0,52.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,1,1349.0,False,47,1422.0,0.7,BH,-20.0,True,False,False,False,True,True,33
0030084081-000050#M358,0030084081-000050,HC340/590DP,DP,1437.0,0.8,840.0,24.0,78.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,1,1349.0,False,49,1442.0,0.7,DP,5.0,False,False,False,False,False,False,34
0030084911-000010#M206,0030084911-000010,HC340/590DP,DP,1360.0,1.0,840.0,24.0,52.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,1,1349.0,False,50,1437.0,0.8,DP,77.0,False,False,False,False,False,False,35
0030085175-000080#M146,0030085175-000080,HC340/590DP,DP,1360.0,1.2,840.0,24.0,52.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,1,1349.0,False,51,1360.0,1.0,DP,0.0,False,False,False,False,False,False,36
0030084062-000010#M396,0030084062-000010,HC180Y,BH,1353.0,0.7,835.0,24.0,130.0,2025-10-31,大辊,big_only,3.0,835.0,835.0,big_roll,2025-10-31,1,1349.0,False,53,1360.0,1.2,DP,7.0,False,False,True,False,True,True,37
0030084081-000010#M368,0030084081-000010,DC05,IF,1230.0,0.65,835.0,21.5,72.0,2025-10-31,大辊,big_only,2.0,835.0,835.0,big_roll,2025-10-31,1,1349.0,False,55,1353.0,0.7,BH,123.0,False,False,False,False,True,True,38
0030083118-000050#M567,0030083118-000050,DC05,IF,1250.0,0.71,835.0,21.5,73.28,2025-10-31,大辊,big_only,2.0,835.0,835.0,big_roll,2025-10-31,1,1349.0,False,57,1230.0,0.65,IF,-20.0,True,False,False,False,False,False,39
0030084050-000080#M373,0030084050-000080,DC04,IF,1250.0,1.4,830.0,21.5,72.0,2025-10-31,大辊,big_only,2.0,830.0,830.0,big_roll,2025-10-31,1,1349.0,False,59,1250.0,0.71,IF,0.0,False,False,True,False,False,False,40
0030083988-000070#M411,0030083988-000070,DC03,IF钢,1262.0,1.95,815.0,22.5,75.0,2025-10-31,大辊/小辊,dual,1.0,815.0,815.0,big_roll,2025-10-31,1,1349.0,False,61,1250.0,1.4,IF,-12.0,True,False,True,False,True,True,41
0030085175-000160#M151,0030085175-000160,HC340/590DP,DP,1250.0,2.0,840.0,21.5,72.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,1,1349.0,False,63,1262.0,1.95,IF钢,12.0,False,False,False,False,True,True,42
0030082156-000400#M662,0030082156-000400,HC340/590DP,DP,1250.0,2.0,840.0,21.5,96.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,1,1349.0,False,64,1250.0,2.0,DP,0.0,False,False,False,False,False,False,43
0030084750-000060#M226,0030084750-000060,HC340/590DP,DP,1215.0,2.5,840.0,21.5,96.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,1,1349.0,False,65,1250.0,2.0,DP,35.0,False,False,False,False,False,False,44
0030085175-000150#M163,0030085175-000150,HC340/590DP,DP,1200.0,2.0,840.0,21.5,72.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,1,1349.0,False,66,1215.0,2.5,DP,15.0,False,False,False,False,False,False,45
0030082156-000390#M684,0030082156-000390,HC340/590DP,DP,1200.0,2.0,840.0,21.5,96.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,1,1349.0,False,67,1200.0,2.0,DP,0.0,False,False,False,False,False,False,46
0030082156-000380#M654,0030082156-000380,HC340/590DP,DP,1185.0,2.0,840.0,21.5,96.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,1,1349.0,False,68,1200.0,2.0,DP,15.0,False,False,False,False,False,False,47
0030082156-000370#M667,0030082156-000370,HC340/590DP,DP,1170.0,2.0,840.0,21.5,96.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,1,1349.0,False,69,1185.0,2.0,DP,15.0,False,False,False,False,False,False,48
0030082156-000360#M688,0030082156-000360,HC340/590DP,DP,1150.0,2.0,840.0,21.5,88.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,1,1349.0,False,70,1170.0,2.0,DP,20.0,False,False,False,False,False,False,49
0030082156-000350#M677,0030082156-000350,HC340/590DP,DP,1100.0,2.0,840.0,21.5,66.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,1,1349.0,False,71,1150.0,2.0,DP,50.0,False,False,False,False,False,False,50
0030084058-000010#M377,0030084058-000010,DC01,PC,1122.0,1.5,810.0,21.5,66.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,big_roll,2025-10-31,1,1349.0,False,73,1100.0,2.0,DP,-22.0,True,False,False,False,True,True,51
0030084752-000040#M200,0030084752-000040,T250P1,加磷高强、烘烤硬化钢,1104.0,1.15,830.0,21.5,74.7,2025-11-30,大辊,big_only,1.0,830.0,830.0,big_roll,2025-11-30,1,1349.0,False,74,1122.0,1.5,PC,18.0,False,False,False,False,True,True,52
0030084876-000020#M216,0030084876-000020,HC340/590DP,DP,1125.0,1.0,840.0,21.5,66.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,1,1349.0,False,76,1104.0,1.15,加磷高强、烘烤硬化钢,-21.0,True,False,False,False,True,True,53
0030085350-000170#M175,0030085350-000170,HC340/590DP,DP,1100.0,1.2,840.0,21.5,120.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,1,1349.0,False,77,1125.0,1.0,DP,25.0,False,False,False,False,False,False,54
0030084752-000020#M233,0030084752-000020,HC340/590DP,DP,1198.0,1.4,840.0,21.5,72.0,2025-11-30,大辊,big_only,3.0,840.0,840.0,big_roll,2025-11-30,1,1349.0,False,79,1100.0,1.2,DP,-98.0,True,False,False,False,False,False,55
0030083753-000050#M453,0030083753-000050,HC340/590DP,DP,1192.0,1.15,840.0,21.5,96.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,1,1349.0,False,81,1198.0,1.4,DP,6.0,False,False,False,False,False,False,56
0030085386-000010#M170,0030085386-000010,HC340/590DP,DP,1189.0,1.4,840.0,21.5,96.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,1,1349.0,False,82,1192.0,1.15,DP,3.0,False,False,False,False,False,False,57
0030084752-000050#M235,0030084752-000050,HC340/590DP,DP,1170.0,0.7,840.0,21.5,72.0,2025-11-30,大辊,big_only,3.0,840.0,840.0,big_roll,2025-11-30,1,1349.0,False,84,1189.0,1.4,DP,19.0,False,False,True,False,False,False,58
0030084950-000010#M236,0030084950-000010,DC04,IF,1140.0,0.7,830.0,21.5,174.62,2025-10-31,大辊,big_only,2.0,830.0,830.0,big_roll,2025-10-31,1,1349.0,False,86,1170.0,0.7,DP,30.0,False,False,False,False,True,True,59
0020049084-000060#M698,0020049084-000060,DC01,PC,1803.0,1.0,810.0,25.5,150.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,small_roll,2025-10-31,1,1686.0,False,1,,,,,False,False,False,False,False,False,1
0020049084-000040#M700,0020049084-000040,DC01,PC,1803.0,0.9,810.0,25.5,120.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,small_roll,2025-10-31,1,1686.0,False,2,1803.0,1.0,PC,0.0,False,False,False,False,False,False,2
0020049085-000010#M701,0020049085-000010,DC01,PC,1803.0,1.0,810.0,25.5,210.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,small_roll,2025-10-31,1,1686.0,False,3,1803.0,0.9,PC,0.0,False,False,False,False,False,False,3
0020050205-000040#M290,0020050205-000040,DC01,PC,1700.0,0.8,810.0,25.5,53.54,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,small_roll,2025-10-31,1,1686.0,False,4,1803.0,1.0,PC,103.0,False,False,False,False,False,False,4
0020050205-000090#M304,0020050205-000090,DC01,PC,1700.0,1.0,810.0,25.5,125.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,small_roll,2025-10-31,1,1686.0,False,5,1700.0,0.8,PC,0.0,False,False,False,False,False,False,5
0030084012-000010#M280,0030084012-000010,DC01,PC,1680.0,0.8,810.0,24.0,130.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,small_roll,2025-10-31,1,1686.0,False,6,1700.0,1.0,PC,20.0,False,False,False,False,False,False,6
0020050205-000030#M302,0020050205-000030,DC01,PC,1600.0,0.8,810.0,24.0,125.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,small_roll,2025-10-31,1,1686.0,False,7,1680.0,0.8,PC,80.0,False,False,False,False,False,False,7
